,NOMBRE,SUBTITULO,PRECIO,PRECIO MENSUAL,KILOMETRAJE,ANIO,TIPO DE CAJA,CILINDRAJE,COMBUSTIBLE,COLOR,ESTADO,UBICACIÓN,DIRECCIÓN,PLACA,PUERTAS,AIRBAGS,IMAGEN
0,Mercedes Benz Clase GLA,200 Automatico,$122.900.000,$3.058.891,22.036 km,2020,Secuencial,1.600,Gasolina,Blanco,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2022246/2022246_23_l.jpg.do
1,Jaguar XE,Prestige 2.0 T,$102.900.000,$2.561.105,15.192 km,2017,Secuencial,2.000,Gasolina,Negro,usado,Bogotá D.C.,,**3 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2020492/2020492_1_l.jpg.do
2,Volkswagen Tiguan,2.0 Comfortline 4MOTION,$99.900.000,$2.486.438,39.024 km,2018,Secuencial,2.000,Gasolina,Otro,usado,Bogotá D.C.,,**6 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2020251/2020251_20_l.jpg.do
3,Mitsubishi Outlander,Phev,$105.900.000,$2.635.773,46.690 km,2017,Automática,2.000,Híbrido,Gris,usado,Bogotá D.C.,,**8 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2017649/2017649_1_l.jpg.do
4,Mercedes Benz Clase CLA,200,$122.900.000,$3.058.891,22.036 km,2020,Automática,1.600,Gasolina,Blanco,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2022954/2022954_20_l.jpg.do
5,Renault Logan,1.6 Expression Aire Acondicionado,$42.900.000,$1.067.749,28.724 km,2020,Automática,1.600,Gasolina,Plateado,usado,Bogotá D.C.,,**0 Palmira,,Airbags,https://www.carroya.com/web/images/vehiculos/2018478/2018478_19_l.jpg.do
6,KIA Sportage,2.0 4x2 Automatica Sun Roof,$86.900.000,$2.162.877,85.562 km,2017,Automática,2.000,Gasolina,Azul,usado,Bogotá D.C.,,**0 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023893/2023893_20_l.jpg.do
7,Chevrolet Traverse,3.6 High Country Automatica,$136.900.000,$3.407.340,55.755 km,2019,Secuencial,3.600,Gasolina,Plateado,usado,Bogotá D.C.,,**8 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2023455/2023455_1_l.jpg.do
8,JEEP Renegade,Sport Plus 1.8 Automatica,$74.900.000,$1.864.206,38.026 km,2019,Secuencial,1.800,Gasolina,Gris,usado,Bogotá D.C.,,**0 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2020412/2020412_18_l.jpg.do
9,Ford Ecosport,Freestyle 2.0 4x4 Automatica,$74.900.000,$1.864.206,37.342 km,2020,Automática,2.000,Gasolina,Blanco,usado,Bogotá D.C.,,**5 Bogota,,Airbags,https://www.carroya.com/web/images/vehiculos/2020408/2020408_18_l.jpg.do
